Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),TZ_001:Zone People Occupant Count [](TimeStep:ON),TZ_001:Zone People Sensible Heating Rate [W](TimeStep),TZ_001:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),DH:District Heating Hot Water Energy [KJ](TimeStep:ON),DH:District Heating Hot Water Rate [KW](TimeStep:ON),DH:District Heating Inlet Temperature [C](TimeStep:ON),,class,,,,
 01/02  05:15:00,6.035,0,0,1,76.90751177,0,174635.3743,194.0393048,63,,63,,,,
 01/02  05:30:00,6.02,0,0,1,77.04884394,0,176219.644,195.7996044,63,,63,,,,
 01/02  05:45:00,6.005,0,0,1,77.03442645,0,175598.8028,195.1097809,63,,63,,,,
 01/02  06:00:00,5.99,0,0,1,76.88149074,0,176046.7597,195.6075108,63,,63,,,,
 01/02  06:15:00,5.975,0,0,1,77.04952197,0,175558.4066,195.0648962,63,,63,,,,
 01/02  06:30:00,5.96,0,0,1,77.04889673,0,176219.5266,195.799474,63,,63,,,,
 01/02  06:45:00,5.945,0,0,1,76.90348888,0,177447.2225,197.1635805,63,,63,,,,
 01/02  07:00:00,5.93,0,0,1,77.07505105,0,175180.5912,194.6451013,63,,63,,,,
 01/02  07:15:00,5.9175,0,0,0.75,57.81073355,0,178448.8712,198.2765235,63,,63,,,,
 01/02  07:30:00,5.905,0,0,0.75,57.71590086,0,180501.1152,200.5567947,63,,63,,,,
 01/02  07:45:00,5.8925,0,0,0.75,57.86378829,0,181170.5194,201.3005771,63,,63,,,,
 01/02  08:00:00,5.88,0,0,0.75,57.88184072,0,181605.4209,201.783801,63,,63,,,,
 01/02  08:15:00,6.1125,31.5,192.105,0.5,38.52460437,305.6661422,178261.416,198.06824,63,,63,,,,
 01/02  08:30:00,6.345,42,256.14,0.5,38.4207723,423.2221529,174404.6672,193.7829636,63,,63,,,,
 01/02  08:45:00,6.5775,45,340.3725,0.5,38.46796349,534.6525944,168136.8216,186.8186906,63,,63,,,,
 01/02  09:00:00,6.81,48,424.605,0.5,38.57490144,553.9806103,164484.0905,182.7601005,64,,64,,,,
 01/02  09:15:00,7.045,51,508.8375,0.25,19.24233942,602.3285018,161551.1267,179.5012519,64,,64,,,,
 01/02  09:30:00,7.28,54,593.07,0.25,19.22639397,627.7248178,157800.8621,175.3342912,64,,64,,,,
